X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79	X80	X81	X82	X83	X84	X85	X86	X87	X88	X89	X90	X91	X92	X93	X94	X95	X96	X97	X98	X99	X100	X101	X102	X103	X104	X105	X106	X107	X108	X109	X110	X111	X112	X113	X114	X115	X116	X117	X118	X119	X120	X121	X122	X123	X124	X125	X126	X127	X128
0.496471	0.592277	0.844423	1.055557	1.144361	1.135773	1.017072	0.803707	0.610242	0.422529	0.291468	0.214088	0.189882	0.16214	0.153016	0.166977	0.156511	0.172674	0.192469	0.24578	0.32014	0.444165	0.602859	0.786021	0.947866	1.06767	1.211804	1.183033	0.910008	0.653424	0.587766	0.73727	1.026132	1.204897	1.068254	0.925083	0.780013	0.589682	0.404473	0.284141	0.217873	0.175225	0.149067	0.159941	0.169639	0.166148	0.166161	0.150366	0.173607	0.210721	0.228291	0.302396	0.439909	0.562922	0.713064	0.972477	1.24766	1.267509	1.014132	0.793209	0.797757	0.961673	1.202282	1.272478	1.047844	0.766258	0.578853	0.389117	0.271013	0.206247	0.195508	0.185945	0.179478	0.20147	0.195859	0.213624	0.213438	0.198113	0.200962	0.219188	0.211157	0.238657	0.323584	0.440784	0.601684	0.939179	1.250877	1.281656	1.086291	0.962065	0.970793	1.099383	1.26376	1.220904	0.917791	0.597339	0.382205	0.243072	0.174783	0.157309	0.197599	0.198382	0.191932	0.212103	0.204572	0.204632	0.205024	0.19419	0.184324	0.18926	0.180637	0.208183	0.258351	0.347548	0.547202	0.838965	1.098904	1.130894	1.068691	1.077537	1.121625	1.056728	1.039541	0.950696	0.692211	0.414065	0.246327	0.178012
0.597334	0.720482	0.993868	1.191539	1.089064	0.903946	0.743989	0.571786	0.388712	0.257112	0.213091	0.181162	0.165128	0.173419	0.162199	0.170828	0.167594	0.16496	0.17606	0.197976	0.225337	0.26291	0.36346	0.509164	0.635502	0.893801	1.202978	1.280328	1.056442	0.818427	0.780046	0.8924	1.155474	1.238664	1.006564	0.70128	0.520689	0.355527	0.231055	0.190308	0.196755	0.182066	0.188999	0.203927	0.193596	0.193718	0.200438	0.181805	0.181671	0.184429	0.17539	0.184278	0.247605	0.350826	0.507649	0.808589	1.141209	1.242761	1.122997	1.006268	1.038483	1.097137	1.188763	1.175211	0.91346	0.593675	0.376571	0.250844	0.182256	0.164168	0.198691	0.200419	0.194208	0.215691	0.199233	0.194	0.204856	0.199975	0.189416	0.197325	0.18897	0.195291	0.232524	0.297897	0.484899	0.782811	1.07437	1.137932	1.132247	1.240511	1.26044	1.146018	1.084569	1.023995	0.763482	0.463238	0.257518	0.199616	0.167832	0.169305	0.191059	0.198255	0.197066	0.205984	0.188218	0.184123	0.18704	0.173255	0.190764	0.171207	0.176785	0.18912	0.209567	0.24337	0.415313	0.665895	0.875387	0.944317	1.142492	1.414445	1.409238	1.101534	0.861586	0.755467	0.533267	0.298071	0.198385	0.191245
0.800475	0.898071	1.1122	1.210175	1.024986	0.709412	0.493514	0.330422	0.216817	0.168082	0.179363	0.185934	0.195555	0.204604	0.189714	0.180886	0.191131	0.191666	0.178913	0.189784	0.180429	0.181797	0.207392	0.304385	0.462061	0.736802	1.062706	1.20476	1.093157	1.011199	1.014652	1.039033	1.131202	1.114132	0.869857	0.559426	0.3487	0.229012	0.179958	0.17136	0.184632	0.19481	0.194792	0.206119	0.188212	0.180471	0.189947	0.179173	0.178746	0.180926	0.164144	0.168393	0.188404	0.243681	0.374359	0.649758	0.928076	1.057622	1.090695	1.275552	1.320285	1.179397	1.051546	0.979011	0.74896	0.477859	0.275212	0.211442	0.201424	0.194363	0.189367	0.204575	0.187689	0.211139	0.190533	0.189554	0.197101	0.187914	0.192663	0.197109	0.202222	0.221745	0.226193	0.22499	0.369743	0.614578	0.855824	0.955437	1.188022	1.49394	1.532815	1.188882	0.909595	0.790583	0.573393	0.333295	0.207183	0.189745	0.21075	0.20806	0.208721	0.201715	0.206369	0.20989	0.196091	0.195262	0.181737	0.168543	0.173681	0.172873	0.183717	0.197675	0.196363	0.198273	0.292478	0.480271	0.673846	0.827608	1.174011	1.613797	1.56914	1.130849	0.73985	0.567634	0.389312	0.237439	0.185698	0.191936
1.100298	1.058479	1.055586	1.043976	0.869464	0.580461	0.348972	0.223428	0.177551	0.159684	0.174267	0.195029	0.185957	0.194409	0.19466	0.178399	0.185305	0.168363	0.170909	0.179834	0.161563	0.174595	0.177157	0.206205	0.323974	0.584222	0.844857	0.991461	1.067482	1.241441	1.323036	1.153949	0.9882	0.909662	0.716079	0.433188	0.248284	0.189737	0.19905	0.192411	0.18637	0.190077	0.189514	0.192556	0.185414	0.179888	0.185966	0.169101	0.168282	0.170518	0.167538	0.193623	0.19413	0.191646	0.288929	0.494276	0.721703	0.860123	1.110445	1.501869	1.61556	1.267995	0.906783	0.743447	0.564289	0.347126	0.215992	0.217228	0.240919	0.221603	0.227267	0.216382	0.211837	0.211392	0.207513	0.206087	0.202338	0.192316	0.197421	0.202605	0.219243	0.229126	0.228883	0.207128	0.278909	0.456886	0.652166	0.830406	1.155613	1.621909	1.657655	1.197307	0.778654	0.5877	0.435313	0.258918	0.181656	0.197129	0.217114	0.219273	0.216049	0.216742	0.235384	0.240533	0.222681	0.226741	0.207507	0.210195	0.19576	0.190473	0.188199	0.19356	0.188387	0.189253	0.2533	0.383929	0.497588	0.702117	1.158624	1.684994	1.674233	1.11018	0.646706	0.422825	0.313555	0.220028	0.184985	0.2025
1.408251	1.227524	0.951268	0.82612	0.703529	0.445737	0.239983	0.183989	0.189184	0.184801	0.185898	0.194298	0.190215	0.185532	0.196384	0.186021	0.188747	0.176874	0.171716	0.181785	0.190915	0.190891	0.191697	0.17663	0.245473	0.439136	0.664494	0.800915	1.043649	1.422667	1.582475	1.262033	0.906214	0.722478	0.541866	0.328147	0.187054	0.195666	0.206993	0.211746	0.21363	0.21255	0.208577	0.200333	0.199996	0.200385	0.190999	0.183229	0.17535	0.17318	0.177945	0.201893	0.202178	0.189084	0.234807	0.376359	0.549829	0.729442	1.053105	1.560742	1.707664	1.278178	0.817063	0.575515	0.422596	0.28598	0.210131	0.209193	0.245316	0.237314	0.235426	0.240145	0.23162	0.236458	0.232189	0.222354	0.233258	0.218833	0.219738	0.206872	0.209542	0.225604	0.216827	0.223992	0.267548	0.361098	0.495385	0.705497	1.123892	1.704948	1.752416	1.212596	0.6746	0.434257	0.346708	0.258353	0.202724	0.203622	0.22479	0.222271	0.235215	0.21988	0.250468	0.244677	0.242899	0.23257	0.216788	0.218496	0.212491	0.209497	0.207913	0.210497	0.211794	0.204898	0.252892	0.297918	0.374657	0.59933	1.147266	1.786315	1.779062	1.122816	0.548869	0.32774	0.256335	0.24552	0.223702	0.219973
1.615636	1.325432	0.912415	0.687027	0.528047	0.335865	0.19927	0.170842	0.190059	0.197672	0.197002	0.201312	0.210203	0.208147	0.207248	0.216119	0.205315	0.192416	0.184256	0.184722	0.179931	0.206787	0.189291	0.190413	0.207181	0.341188	0.503532	0.661215	0.964451	1.47162	1.648337	1.293668	0.821907	0.570169	0.413477	0.275696	0.199181	0.184763	0.213422	0.216294	0.230876	0.231216	0.220147	0.228336	0.224991	0.22515	0.219147	0.201485	0.193168	0.189433	0.202676	0.204475	0.211621	0.216644	0.239724	0.302281	0.428665	0.606514	1.004719	1.617215	1.781905	1.302233	0.731065	0.448124	0.34464	0.28555	0.217948	0.215472	0.248324	0.264934	0.263108	0.246921	0.247215	0.247753	0.242763	0.245476	0.229579	0.230017	0.222798	0.225029	0.233501	0.244634	0.239852	0.24036	0.268623	0.308152	0.3777	0.586178	1.120334	1.784477	1.868647	1.253486	0.609169	0.341037	0.289153	0.272761	0.23945	0.238908	0.252942	0.256437	0.245478	0.241982	0.259573	0.232161	0.222939	0.225725	0.228041	0.230464	0.235617	0.237035	0.23564	0.239496	0.225913	0.241502	0.258806	0.278659	0.320424	0.573878	1.118539	1.757319	1.745842	1.112724	0.539827	0.27016	0.228053	0.230641	0.235581	0.233643
1.672014	1.362362	0.835657	0.529471	0.414026	0.281821	0.188932	0.16829	0.197672	0.204708	0.211595	0.221257	0.221938	0.239747	0.233563	0.216305	0.232446	0.223302	0.219041	0.20433	0.196641	0.205722	0.206069	0.199561	0.227286	0.287608	0.376197	0.534525	0.914885	1.52077	1.752209	1.310222	0.737406	0.447866	0.335761	0.264254	0.215894	0.203629	0.216972	0.234511	0.241337	0.238152	0.235357	0.241711	0.224562	0.234134	0.221602	0.218913	0.216595	0.206398	0.217813	0.209865	0.222336	0.227248	0.2421	0.264313	0.321828	0.490877	0.970602	1.650878	1.846042	1.312445	0.673614	0.365193	0.289988	0.270663	0.236829	0.231574	0.259819	0.271365	0.281743	0.269175	0.26355	0.24857	0.231987	0.228015	0.225685	0.248572	0.240574	0.245404	0.253947	0.261765	0.248363	0.26256	0.2747	0.27228	0.318193	0.54782	1.072935	1.727542	1.798043	1.240405	0.616632	0.313285	0.259485	0.265171	0.252307	0.242136	0.258508	0.274804	0.287409	0.255884	0.230322	0.19961	0.184909	0.188455	0.200311	0.230219	0.250129	0.275226	0.274893	0.2667	0.252852	0.269723	0.264721	0.250609	0.283408	0.545908	1.054506	1.692802	1.709657	1.086173	0.496242	0.231474	0.209667	0.244587	0.253878	0.248745
1.779656	1.419718	0.790035	0.416542	0.296434	0.254463	0.213142	0.201885	0.21759	0.231824	0.24076	0.239344	0.238984	0.241755	0.237568	0.231498	0.229193	0.221788	0.214997	0.209343	0.229166	0.228141	0.220808	0.238391	0.234501	0.251911	0.304884	0.453846	0.868977	1.509916	1.737803	1.294531	0.695219	0.359331	0.264038	0.244711	0.2253	0.220949	0.2376	0.256808	0.261379	0.253589	0.245415	0.224562	0.206676	0.205921	0.212707	0.213528	0.231531	0.232941	0.238868	0.227859	0.234372	0.234213	0.256294	0.244598	0.281698	0.476753	0.921945	1.576526	1.740649	1.264671	0.65541	0.323816	0.242164	0.252879	0.256293	0.239194	0.267497	0.287678	0.304768	0.270234	0.252997	0.210955	0.196461	0.18583	0.1927	0.228242	0.244703	0.281325	0.292244	0.280376	0.26622	0.274707	0.290956	0.275017	0.292769	0.511081	1.038143	1.708042	1.800227	1.231175	0.570574	0.256071	0.240977	0.268781	0.283986	0.277738	0.299091	0.320491	0.295544	0.235343	0.201835	0.167131	0.15559	0.159802	0.160849	0.220654	0.247462	0.29106	0.317591	0.300173	0.279589	0.299479	0.285133	0.250847	0.25622	0.489602	1.088558	1.716308	1.702738	1.057458	0.442968	0.189267	0.197419	0.260668	0.264882	0.266513
1.74976	1.38897	0.743075	0.361753	0.239295	0.234485	0.238335	0.227891	0.24123	0.269978	0.280866	0.263016	0.252115	0.238394	0.219073	0.19739	0.203939	0.211359	0.238252	0.239287	0.247156	0.247839	0.237611	0.241031	0.244285	0.235567	0.257717	0.426525	0.857129	1.491053	1.709823	1.289177	0.664562	0.321787	0.224156	0.22984	0.250223	0.24108	0.259872	0.28694	0.290493	0.262056	0.234526	0.187542	0.165779	0.175891	0.166812	0.187587	0.236535	0.258753	0.292007	0.274804	0.265777	0.273235	0.278369	0.250787	0.249868	0.419916	0.899584	1.582592	1.746463	1.260114	0.617357	0.272247	0.228668	0.262086	0.283617	0.278702	0.28276	0.316188	0.29977	0.272049	0.21395	0.176689	0.157962	0.148441	0.151885	0.204413	0.250226	0.277726	0.31033	0.30021	0.296094	0.30373	0.313068	0.270019	0.267509	0.465845	1.008322	1.670093	1.794438	1.203961	0.534891	0.22958	0.228323	0.288586	0.301753	0.289399	0.307771	0.33477	0.305856	0.235068	0.206945	0.164094	0.153883	0.143709	0.155426	0.203421	0.251899	0.315281	0.351664	0.325198	0.308792	0.304265	0.289007	0.257684	0.259132	0.500091	1.020851	1.605573	1.609156	1.020362	0.451737	0.196109	0.177282	0.220677	0.255605	0.268269
1.714304	1.372753	0.71545	0.321715	0.213113	0.231352	0.26225	0.256523	0.270711	0.300374	0.314587	0.279528	0.243629	0.203239	0.172171	0.177326	0.169096	0.197807	0.233633	0.264429	0.280631	0.285599	0.265668	0.276821	0.281628	0.239658	0.232738	0.370435	0.835161	1.501235	1.737788	1.276163	0.619316	0.261298	0.193048	0.228337	0.261902	0.264206	0.27393	0.307496	0.292974	0.24846	0.210561	0.169615	0.149203	0.139579	0.14603	0.170861	0.221879	0.263525	0.296128	0.29679	0.288201	0.28588	0.297441	0.255285	0.239633	0.397348	0.883845	1.547795	1.717904	1.23768	0.597076	0.253378	0.200126	0.252672	0.271476	0.272112	0.294689	0.31276	0.30233	0.250688	0.21378	0.173541	0.157083	0.142494	0.160107	0.194456	0.254261	0.300261	0.33704	0.323513	0.294154	0.301651	0.290653	0.247288	0.258311	0.466245	0.963892	1.613191	1.700056	1.16147	0.545	0.253298	0.207919	0.26457	0.289464	0.278466	0.311275	0.338571	0.311954	0.249899	0.214492	0.15949	0.147776	0.159471	0.159348	0.212054	0.264873	0.33133	0.361818	0.346124	0.306732	0.312342	0.287769	0.245226	0.243555	0.476682	1.001295	1.585835	1.629466	1.032434	0.441557	0.187692	0.175481	0.237859	0.276888	0.281193
